Start Angle,Start X,Start Y,X,Y,Rotation (degrees),Max Velocity (%),Max Rotation (Percent),Delay Time (seconds),"End Condition (0 Do Nothing,1 Drive To Point,2 Turn Angle,3 Delay, 4 Shoot 2 Balls, 5 Turret Angle)",No Slow,"Intake (1 Suck, 0 Do Nothing)","Shooter Spinup (1,0)","Shoot (1,0)",Balls to Shoot,Balls to Collect,Spit
-90,0.7,-2.3,0.7,-3.05,-90,1,1,0,1,0,1,1,0,0,0,0
-90,0,0,0.7,-3.05,-90,1,1,2,7,0,1,1,0,0,1,0
-90,0,0,0.7,-3.05,-90,0,1,3,6,0,1,1,1,2,0,0
0,0,0,-0.9,-1.7,-45,1,1,0,1,0,1,1,0,0,0,0
0,0,0,-1.4,-1.85,-45,1,1,0,1,0,1,1,0,0,0,0
0,0,0,-1.4,-1.85,-45,1,1,2,7,0,1,1,0,0,2,0
0,0,0,-1.4,-1.85,-45,0,1,2,6,0,1,1,1,3,0,0
0,0,0,-4.8,-2.3,-45,1,1,0,1,0,1,1,0,0,0,0
0,0,0,-5.2,-2.5,-45,1,1,0,1,0,1,1,0,0,0,0
0,0,0,-5.2,-2.5,-45,1,1,2.5,7,0,1,1,0,0,4,0
0,0,0,-2.3,-1.85,-30,1,1,0,1,0,1,1,0,0,0,0
0,0,0,-2.3,-1.85,-30,0,1,3,6,0,1,1,1,5,0,0
